,Datetime,Open,High,Low,Close,240 avg,60 avg,delta 60 avg,buy,sell
1290,2022-11-08 17:42:00,0.32991060614585876,0.32991060614585876,0.32991060614585876,0.32991060614585876,0.33072279033561547,0.33476089388132096,-3.1835710008962237e-06,na,sell
1349,2022-11-08 18:43:00,0.3361356556415558,0.3361356556415558,0.3361356556415558,0.3361356556415558,0.3295875901977221,0.3290889332691828,3.1741956869751897e-06,buy,na
1386,2022-11-08 19:22:00,0.33251243829727173,0.33251243829727173,0.33251243829727173,0.33251243829727173,0.33148200139403344,0.3313266893227895,1.6418596108722094e-06,buy,na
1410,2022-11-08 19:46:00,0.32960328459739685,0.32960328459739685,0.32960328459739685,0.32960328459739685,0.3321062942345937,0.33242866198221843,-8.943863213060899e-06,na,sell
1484,2022-11-08 21:03:00,0.32258284091949463,0.32258284091949463,0.32258284091949463,0.32258284091949463,0.3296834717194239,0.3249414175748825,1.199978093308074e-06,buy,na
1514,2022-11-08 21:35:00,0.3231716752052307,0.3231716752052307,0.3231716752052307,0.3231716752052307,0.3282450278600057,0.3244662180542946,4.131222764651443e-06,buy,na
1589,2022-11-08 22:53:00,0.32346999645233154,0.32346999645233154,0.32346999645233154,0.32346999645233154,0.32498211475710076,0.31890893429517747,7.623185714136782e-07,buy,na
1653,2022-11-09 00:00:00,0.3217647075653076,0.3217647075653076,0.3217647075653076,0.3217647075653076,0.3227034709105889,0.32372674892346065,-9.74896053473201e-06,na,sell
1752,2022-11-09 01:42:00,0.32315146923065186,0.32315146923065186,0.32315146923065186,0.32315146923065186,0.32235805640618004,0.3250875785946846,-9.698172410282924e-08,na,sell
1980,2022-11-09 05:52:00,0.30419209599494934,0.30419209599494934,0.30419209599494934,0.30419209599494934,0.3115832229455312,0.2981314048171043,3.5543615619360036e-06,buy,na
2106,2022-11-09 08:11:00,0.3098505735397339,0.3098505735397339,0.3098505735397339,0.3098505735397339,0.3064990196377039,0.31374665250380834,-5.921969811126249e-07,na,sell
2213,2022-11-09 10:08:00,0.3119024634361267,0.3119024634361267,0.3119024634361267,0.3119024634361267,0.3097564589232206,0.30911396741867064,3.502517938611116e-06,buy,na
2324,2022-11-09 12:08:00,0.2987954914569855,0.2987954914569855,0.2987954914569855,0.2987954914569855,0.30536652406056725,0.29510296682516735,2.840347588059511e-06,buy,na
2448,2022-11-09 14:23:00,0.2964039742946625,0.2964039742946625,0.2964039742946625,0.2964039742946625,0.2970261142899593,0.2906834820906321,7.139270504316619e-06,buy,na
2514,2022-11-09 15:33:00,0.29528501629829407,0.29528501629829407,0.29528501629829407,0.29528501629829407,0.295228494082888,0.2980178306500117,-1.1809356510641966e-05,na,sell
2648,2022-11-09 18:00:00,0.2635236084461212,0.2635236084461212,0.2635236084461212,0.2635236084461212,0.28285071775317194,0.2614733745654424,6.8755820393576195e-06,buy,na
2694,2022-11-09 18:50:00,0.2644168734550476,0.2644168734550476,0.2644168734550476,0.2644168734550476,0.27717010440925754,0.2620750625928243,1.137622942527089e-05,buy,na
2792,2022-11-09 20:38:00,0.27394047379493713,0.27394047379493713,0.27394047379493713,0.27394047379493713,0.2678575340658426,0.2757689798871676,-6.770715117454529e-07,na,sell
2814,2022-11-09 21:03:00,0.2732763886451721,0.2732763886451721,0.2732763886451721,0.2732763886451721,0.26748812807103,0.2755214090148608,-1.2783954540865339e-06,na,sell
2865,2022-11-09 21:58:00,0.27349936962127686,0.27349936962127686,0.27349936962127686,0.27349936962127686,0.2698851297299067,0.2729659855365753,-1.5607103705447822e-06,na,sell
3152,2022-11-10 03:16:00,0.2946745753288269,0.2946745753288269,0.2946745753288269,0.2946745753288269,0.29210473634302614,0.30024713079134624,-4.589806000390717e-06,na,sell
3212,2022-11-10 04:25:00,0.29624831676483154,0.29624831676483154,0.29624831676483154,0.29624831676483154,0.29477697076896825,0.2938238427042961,9.886920452131798e-07,buy,na
